prompt_id,request_start,ttft,request_end,is_miss,ttft_time
0,0.0010211467742919922,0.13550925254821777,0.8535919189453125,False,0.13653039932250977
1,0.8537123203277588,0.1297895908355713,1.680860996246338,False,0.9835019111633301
2,1.6809687614440918,0.14421486854553223,2.525949001312256,False,1.825183629989624
3,2.526216983795166,0.14857721328735352,3.3828928470611572,False,2.6747941970825195
4,3.383000612258911,0.13426780700683594,4.214017152786255,False,3.517268419265747
5,4.214128494262695,0.39207029342651367,5.31207013130188,True,4.606198787689209
6,5.3121936321258545,0.38312840461730957,6.418253660202026,True,5.695322036743164
7,6.418379783630371,0.39298343658447266,7.5430076122283936,True,6.811363220214844
8,7.5431294441223145,0.3889017105102539,8.638441324234009,True,7.932031154632568
9,8.6385498046875,0.39354586601257324,9.737596273422241,True,9.032095670700073
10,9.737720012664795,0.1376504898071289,10.572813987731934,False,9.875370502471924
11,10.572936058044434,0.11924099922180176,11.37223482131958,False,10.692177057266235
12,11.372339487075806,0.1363694667816162,12.186448097229004,False,11.508708953857422
13,12.186572790145874,0.1461493968963623,13.016144037246704,False,12.332722187042236
14,13.016249418258667,0.14133548736572266,13.834397077560425,False,13.15758490562439
15,13.83452820777893,0.3901553153991699,14.803362369537354,True,14.2246835231781
16,14.803483247756958,0.39641547203063965,15.900375366210938,True,15.199898719787598
17,15.90049695968628,0.38828396797180176,16.99344229698181,True,16.28878092765808
18,16.993563175201416,0.40555405616760254,18.116080045700073,True,17.39911723136902
19,18.11618995666504,0.392409086227417,19.220352172851562,True,18.508599042892456
