prompt_id,request_start,ttft,request_end,ttft_time,is_miss
0,0.0002779960632324219,0.40066957473754883,1.1240143775939941,0.40094757080078125,True
1,1.1241905689239502,0.39612340927124023,2.219543933868408,1.5203139781951904,True
2,2.2196545600891113,0.386995792388916,3.3126955032348633,2.6066503524780273,True
3,3.3128204345703125,0.38044071197509766,4.420532941818237,3.69326114654541,True
4,4.420655965805054,0.39188528060913086,5.537446975708008,4.812541246414185,True
5,5.537601709365845,0.38636088371276855,6.6553802490234375,5.923962593078613,True
6,6.655488729476929,0.3905823230743408,7.7742838859558105,7.0460710525512695,True
7,7.774408578872681,0.3940880298614502,8.913344144821167,8.16849660873413,True
8,8.913469076156616,0.3835160732269287,10.021977186203003,9.296985149383545,True
9,10.02208924293518,0.3789680004119873,11.151456117630005,10.401057243347168,True
